district,Month and Year,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle,Stealing Total,Property Damage Total,Arson Total,Drug Offences Total,Regulated Weapons Offences
Fremantle,1/06/2010,0,30,78,57,573,238,1,108,17
Fremantle,1/07/2010,1,42,52,62,499,283,3,123,15
Fremantle,1/08/2010,2,37,92,56,591,266,3,61,16
Fremantle,1/09/2010,0,45,74,59,659,317,8,98,15
Fremantle,1/10/2010,0,48,121,56,634,325,7,99,12
Fremantle,1/11/2010,0,53,85,41,656,266,16,122,12
Fremantle,1/12/2010,0,70,90,46,613,299,10,94,9
Fremantle,1/01/2011,0,65,85,80,722,335,12,68,12
Fremantle,1/02/2011,0,56,93,57,725,264,22,90,8
Fremantle,1/03/2011,0,47,74,94,758,304,14,79,14
Fremantle,1/04/2011,0,64,66,77,675,241,4,99,12
Fremantle,1/05/2011,2,55,76,77,834,265,10,82,9
Fremantle,1/06/2011,0,61,96,75,730,256,7,93,8
Fremantle,1/07/2011,1,42,82,84,671,261,4,79,7
Fremantle,1/08/2011,0,42,57,75,745,227,8,138,46
Fremantle,1/09/2011,1,46,75,61,734,261,5,83,11
Fremantle,1/10/2011,0,57,87,71,817,290,5,64,10
Fremantle,1/11/2011,0,69,85,84,744,292,3,89,17
Fremantle,1/12/2011,0,70,79,83,705,234,7,86,4
Fremantle,1/01/2012,0,94,109,86,774,260,5,111,9
Fremantle,1/02/2012,0,70,96,83,697,214,7,74,14
Fremantle,1/03/2012,4,75,108,100,747,255,6,114,15
Fremantle,1/04/2012,0,72,87,82,662,248,14,158,12
Fremantle,1/05/2012,2,47,68,74,670,210,5,155,19
Fremantle,1/06/2012,1,59,47,60,662,191,6,138,22
Fremantle,1/07/2012,1,66,67,80,571,225,2,114,20
Fremantle,1/08/2012,1,64,98,56,584,218,3,96,18
Fremantle,1/09/2012,1,76,70,48,593,239,1,117,10
Fremantle,1/10/2012,1,61,64,93,803,304,28,110,14
Fremantle,1/11/2012,0,77,111,95,617,239,8,97,22
Fremantle,1/12/2012,0,88,100,107,786,269,10,90,22
Fremantle,1/01/2013,1,87,105,126,822,235,4,112,21
Fremantle,1/02/2013,1,74,73,86,683,198,5,97,20
Fremantle,1/03/2013,0,83,77,89,751,277,6,194,14
Fremantle,1/04/2013,0,70,55,68,628,190,6,130,25
Fremantle,1/05/2013,1,62,65,73,669,232,9,136,30
Fremantle,1/06/2013,1,42,62,62,557,249,4,75,10
Fremantle,1/07/2013,0,88,57,64,663,239,1,101,12
Fremantle,1/08/2013,0,105,85,64,598,212,6,106,25
Fremantle,1/09/2013,0,87,88,73,563,206,3,171,27
Fremantle,1/10/2013,0,83,57,73,730,258,5,119,16
Fremantle,1/11/2013,0,104,91,68,738,231,7,156,15
Fremantle,1/12/2013,1,84,97,117,798,228,9,166,18
Fremantle,1/01/2014,3,88,86,105,886,272,12,149,21
Fremantle,1/02/2014,0,99,65,87,704,226,4,154,34
Fremantle,1/03/2014,0,96,77,106,726,236,4,160,21
Fremantle,1/04/2014,3,106,71,85,581,205,6,187,9
Fremantle,1/05/2014,0,95,55,91,716,229,8,175,24
Fremantle,1/06/2014,2,83,43,66,705,210,1,176,33
Fremantle,1/07/2014,0,96,51,69,765,187,6,94,14
Fremantle,1/08/2014,1,88,100,92,754,214,10,127,22
Fremantle,1/09/2014,0,82,58,75,743,195,8,181,36
Fremantle,1/10/2014,1,86,62,68,830,215,2,200,45
Fremantle,1/11/2014,0,84,71,86,765,224,8,185,16
Fremantle,1/12/2014,3,124,86,74,767,249,7,204,43
Fremantle,1/01/2015,0,137,79,73,798,277,8,190,23
Fremantle,1/02/2015,0,104,83,62,840,247,6,190,21
Fremantle,1/03/2015,0,119,93,91,929,287,20,231,23
Fremantle,1/04/2015,2,102,58,74,1002,317,8,205,28
Fremantle,1/05/2015,2,95,65,93,944,284,2,202,23
Fremantle,1/06/2015,1,94,62,77,964,259,5,222,37
Fremantle,1/07/2015,1,96,59,66,887,224,5,156,12
Fremantle,1/08/2015,1,92,82,75,903,317,10,224,55
Fremantle,1/09/2015,0,116,76,53,881,297,6,231,18
Fremantle,1/10/2015,0,101,71,83,1136,307,23,160,19
Fremantle,1/11/2015,0,114,100,66,1023,307,9,192,27
Fremantle,1/12/2015,3,135,81,70,1024,307,19,258,25
Fremantle,1/01/2016,1,153,62,81,1120,271,6,192,17
Fremantle,1/02/2016,1,113,82,71,1083,287,11,212,42
Fremantle,1/03/2016,0,115,87,61,1000,269,9,234,53
Fremantle,1/04/2016,0,117,76,46,810,378,5,174,31
Fremantle,1/05/2016,1,97,65,66,868,270,3,190,44
Fremantle,1/06/2016,0,80,79,66,855,209,5,284,42
Fremantle,1/07/2016,1,95,67,50,734,213,3,231,19
Fremantle,1/08/2016,0,84,60,56,737,234,4,245,33
Fremantle,1/09/2016,1,73,59,50,830,241,10,207,29
Fremantle,1/10/2016,0,124,95,63,879,273,11,246,33
Fremantle,1/11/2016,2,110,92,60,879,210,5,250,25
Fremantle,1/12/2016,2,112,104,63,784,218,2,256,38
Fremantle,1/01/2017,0,107,90,71,950,303,11,154,21
Fremantle,1/02/2017,0,89,89,65,824,229,4,163,22
Fremantle,1/03/2017,0,93,88,66,874,251,7,210,25
Fremantle,1/04/2017,0,99,87,47,701,210,2,228,21
Fremantle,1/05/2017,0,83,97,59,790,233,5,200,24
Fremantle,1/06/2017,0,88,78,74,788,220,3,178,23
Fremantle,1/07/2017,0,122,66,54,840,293,7,221,25
Fremantle,1/08/2017,0,84,71,55,827,238,6,212,22
Fremantle,1/09/2017,0,69,92,69,811,220,6,165,23
Fremantle,1/10/2017,0,119,72,53,935,243,7,190,23
Fremantle,1/11/2017,1,98,81,55,785,251,5,129,28
Fremantle,1/12/2017,2,129,79,70,833,238,10,153,19
Fremantle,1/01/2018,0,118,101,68,1092,252,7,143,21
Fremantle,1/02/2018,1,81,84,41,975,201,10,192,28
Fremantle,1/03/2018,0,102,76,60,953,207,3,213,18
Fremantle,1/04/2018,1,85,74,47,835,176,2,208,36
Fremantle,1/05/2018,0,71,73,39,803,204,5,182,20
Fremantle,1/06/2018,0,53,58,54,752,185,6,191,39
Fremantle,1/07/2018,0,68,58,43,741,216,2,189,12
Fremantle,1/08/2018,0,70,63,54,775,208,10,185,33
Fremantle,1/09/2018,1,84,95,58,702,179,2,205,37
Fremantle,1/10/2018,0,74,69,54,845,226,4,211,26
Fremantle,1/11/2018,0,95,62,49,830,240,3,221,25
Fremantle,1/12/2018,2,97,90,58,871,240,9,176,28
Fremantle,1/01/2019,0,123,116,56,925,252,7,183,33
Fremantle,1/02/2019,1,122,86,65,863,260,7,174,20
Fremantle,1/03/2019,0,112,81,62,894,235,5,195,31
Fremantle,1/04/2019,0,110,93,78,891,187,6,203,36
Fremantle,1/05/2019,0,99,88,80,1010,199,5,253,28
Fremantle,1/06/2019,0,91,69,57,874,216,3,145,15
Fremantle,1/07/2019,0,103,65,45,831,193,5,193,27
Fremantle,1/08/2019,0,125,91,61,843,211,0,181,64
Fremantle,1/09/2019,0,90,59,56,925,240,8,145,13
Fremantle,1/10/2019,0,135,91,63,827,242,3,216,35
Fremantle,1/11/2019,0,143,84,63,834,223,4,197,25
Fremantle,1/12/2019,1,130,92,81,814,227,4,218,36
Fremantle,1/01/2020,2,150,75,68,933,167,9,115,13
Fremantle,1/02/2020,1,124,84,77,791,195,13,184,11
Fremantle,1/03/2020,1,145,98,67,873,260,18,171,21
Fremantle,1/04/2020,0,137,65,47,565,203,2,188,23
Fremantle,1/05/2020,0,108,74,36,470,172,7,224,32
Fremantle,1/06/2020,0,98,91,28,448,150,4,175,29
Fremantle,1/07/2020,0,115,91,22,435,140,2,233,28
Fremantle,1/08/2020,0,157,111,31,380,137,6,198,18
Fremantle,1/09/2020,1,159,105,43,466,170,6,186,20
Fremantle,1/10/2020,1,147,84,27,499,206,7,135,18
Fremantle,1/11/2020,0,136,84,42,468,169,6,122,16
Fremantle,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,1/01/2021,1,148,129,63,703,222,13,101,18
Fremantle,1/02/2021,0,116,92,48,546,186,10,103,11
Fremantle,1/03/2021,1,137,133,62,718,218,4,152,18
Fremantle,1/04/2021,0,160,105,60,682,174,2,126,53
Fremantle,1/05/2021,1,127,102,49,666,180,6,150,13
Fremantle,1/06/2021,0,128,93,37,774,198,9,127,15
Fremantle,1/07/2021,0,102,84,44,628,181,3,104,12
Fremantle,1/08/2021,0,125,99,36,596,196,3,114,14
Fremantle,1/09/2021,1,131,121,45,694,185,7,88,16
Fremantle,1/10/2021,0,106,94,32,574,173,3,89,8
Fremantle,1/11/2021,0,118,122,40,641,191,6,85,12
Fremantle,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,1/01/2022,0,151,103,67,684,191,10,65,18
Fremantle,1/02/2022,0,128,93,55,663,176,3,71,7
Fremantle,1/03/2022,2,138,76,36,670,162,9,92,12
Fremantle,1/04/2022,0,118,90,36,615,188,2,83,15
Fremantle,1/05/2022,2,155,105,53,741,188,7,85,5
Fremantle,1/06/2022,0,130,108,52,704,176,0,85,11
Fremantle,1/07/2022,0,111,93,30,691,189,4,126,12
Fremantle,1/08/2022,0,127,64,29,647,151,6,111,16
Fremantle,1/09/2022,0,122,83,44,811,190,2,107,17
Fremantle,1/10/2022,0,128,120,60,810,230,8,78,14
Fremantle,1/11/2022,0,143,110,45,715,198,7,127,15
Fremantle,1/12/2022,1,165,141,45,810,218,20,107,9
Joondalup,1/01/2007,3,70,54,58,619,364,13,125,12
Joondalup,1/02/2007,1,57,78,42,542,308,13,96,8
Joondalup,1/03/2007,2,65,113,62,583,357,7,110,15
Joondalup,1/04/2007,0,53,89,42,531,350,5,103,23
Joondalup,1/05/2007,1,43,76,50,595,345,16,184,21
Joondalup,1/06/2007,0,47,111,42,557,318,8,192,18
Joondalup,1/07/2007,0,49,73,55,584,333,11,169,12
Joondalup,1/08/2007,2,55,77,54,644,351,5,141,10
Joondalup,1/09/2007,2,67,99,58,600,322,6,129,11
Joondalup,1/10/2007,0,57,73,64,641,353,5,108,16
Joondalup,1/11/2007,2,87,100,71,530,343,10,96,10
Joondalup,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,1/01/2008,0,68,75,64,617,414,19,81,14
Joondalup,1/02/2008,0,81,100,70,599,360,10,77,9
Joondalup,1/03/2008,0,65,84,63,715,386,14,84,19
Joondalup,1/04/2008,0,53,49,50,658,316,9,133,27
Joondalup,1/05/2008,0,65,123,54,672,334,10,159,8
Joondalup,1/06/2008,2,38,85,61,673,354,5,150,14
Joondalup,1/07/2008,0,41,49,51,714,408,11,106,10
Joondalup,1/08/2008,0,31,99,58,677,332,11,131,19
Joondalup,1/09/2008,1,40,102,65,809,423,9,116,22
Joondalup,1/10/2008,2,43,118,48,692,353,10,187,25
Joondalup,1/11/2008,1,41,104,89,689,409,7,91,8
Joondalup,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,1/01/2009,0,47,96,77,762,407,8,104,11
Joondalup,1/02/2009,1,43,78,43,631,331,13,107,18
Joondalup,1/03/2009,0,31,114,57,624,376,14,126,18
Joondalup,1/04/2009,2,30,84,66,563,355,28,158,16
Joondalup,1/05/2009,0,41,91,55,585,377,9,141,15
Joondalup,1/06/2009,0,57,75,46,602,328,6,114,13
Joondalup,1/07/2009,0,54,53,44,559,310,10,189,39
Joondalup,1/08/2009,0,42,100,65,498,286,8,123,17
Joondalup,1/09/2009,2,41,86,49,492,304,14,133,23
Joondalup,1/10/2009,4,49,94,55,613,314,22,117,20
Joondalup,1/11/2009,2,53,107,46,539,328,16,113,14
Joondalup,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,1/01/2010,0,58,74,68,582,292,7,91,15
Joondalup,1/02/2010,1,38,88,66,612,261,7,104,19
Joondalup,1/03/2010,0,57,96,56,546,288,4,112,18
Joondalup,1/04/2010,0,34,75,48,491,236,5,115,19
Joondalup,1/05/2010,0,38,80,44,514,250,5,116,19
Joondalup,1/06/2010,0,45,66,35,455,239,4,123,7
Joondalup,1/07/2010,0,39,62,49,492,238,11,92,9
Joondalup,1/08/2010,0,27,71,49,481,249,16,83,2
Joondalup,1/09/2010,0,51,97,46,562,310,4,101,22
Joondalup,1/10/2010,0,91,98,44,508,318,16,83,20
Joondalup,1/11/2010,2,65,75,38,548,253,6,94,11
Joondalup,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,1/01/2011,0,74,98,94,628,353,11,78,17
Joondalup,1/02/2011,0,78,94,68,577,277,12,76,13
Joondalup,1/03/2011,1,86,115,72,693,294,17,124,25
Joondalup,1/04/2011,2,84,96,58,619,276,10,95,16
Joondalup,1/05/2011,0,74,75,57,610,290,6,114,16
Joondalup,1/06/2011,1,74,78,56,612,290,3,95,9
Joondalup,1/07/2011,0,95,72,69,663,231,6,103,11
Joondalup,1/08/2011,0,68,102,79,685,265,6,124,35
Joondalup,1/09/2011,0,76,75,63,769,235,14,130,29
Joondalup,1/10/2011,0,90,101,78,675,270,12,85,16
Joondalup,1/11/2011,0,99,91,56,691,270,11,118,13
Joondalup,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,1/01/2012,0,174,106,93,763,348,26,153,32
Joondalup,1/02/2012,0,119,101,69,760,316,12,86,19
Joondalup,1/03/2012,2,101,117,56,659,283,18,110,13
Joondalup,1/04/2012,0,103,100,61,714,285,9,136,33
Joondalup,1/05/2012,0,107,83,66,766,288,7,91,10
Joondalup,1/06/2012,1,98,82,66,657,269,9,111,15
Joondalup,1/07/2012,2,109,66,74,722,279,7,137,40
Joondalup,1/08/2012,1,83,112,80,751,254,6,144,17
Joondalup,1/09/2012,1,119,68,88,658,273,10,124,24
Joondalup,1/10/2012,1,105,88,95,695,307,6,137,21
Joondalup,1/11/2012,0,118,108,74,723,271,5,158,20
Joondalup,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,1/01/2013,1,139,104,75,732,348,10,121,27
Joondalup,1/02/2013,2,106,86,74,594,297,11,107,66
Joondalup,1/03/2013,0,128,103,93,710,305,8,166,59
Joondalup,1/04/2013,1,120,68,58,672,245,6,115,20
Joondalup,1/05/2013,2,93,69,56,730,239,6,109,18
Joondalup,1/06/2013,1,109,62,71,610,223,3,114,19
Joondalup,1/07/2013,1,94,75,62,529,239,15,149,25
Joondalup,1/08/2013,0,93,83,68,663,245,12,96,22
Joondalup,1/09/2013,0,81,65,55,513,229,12,109,16
Joondalup,1/10/2013,1,94,81,68,656,231,5,100,25
Joondalup,1/11/2013,1,112,102,67,654,260,6,114,22
Joondalup,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,1/01/2014,0,112,75,71,714,253,18,87,21
Joondalup,1/02/2014,0,132,88,53,645,216,11,160,24
Joondalup,1/03/2014,0,108,71,71,707,247,7,242,44
Joondalup,1/04/2014,0,103,72,78,620,207,6,178,38
Joondalup,1/05/2014,1,69,50,48,654,187,13,251,27
Joondalup,1/06/2014,0,84,54,53,749,197,4,122,22
Joondalup,1/07/2014,0,103,60,56,723,219,16,185,14
Joondalup,1/08/2014,0,106,63,51,664,237,11,191,37
Joondalup,1/09/2014,3,72,64,59,689,248,18,180,23
Joondalup,1/10/2014,0,80,72,67,872,263,13,159,37
Joondalup,1/11/2014,0,110,77,66,776,234,14,171,32
Joondalup,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,1/01/2015,0,97,74,60,796,316,14,185,26
Joondalup,1/02/2015,1,108,79,66,696,217,12,196,41
Joondalup,1/03/2015,1,125,91,66,787,220,10,176,31
Joondalup,1/04/2015,0,136,58,61,802,228,11,204,31
Joondalup,1/05/2015,0,134,49,69,676,256,6,324,46
Joondalup,1/06/2015,0,136,71,92,807,245,7,337,75
Joondalup,1/07/2015,0,121,74,65,788,236,7,330,38
Joondalup,1/08/2015,2,170,74,75,753,234,15,312,33
Joondalup,1/09/2015,1,162,54,78,721,234,5,328,50
Joondalup,1/10/2015,1,129,67,74,849,232,11,306,31
Joondalup,1/11/2015,0,197,74,63,753,254,8,310,36
Joondalup,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,1/01/2016,1,215,76,87,738,232,7,272,26
Joondalup,1/02/2016,1,174,88,79,733,249,5,429,40
Joondalup,1/03/2016,0,231,88,91,691,216,12,372,86
Joondalup,1/04/2016,2,168,58,75,799,257,8,401,40
Joondalup,1/05/2016,1,200,58,73,738,246,6,322,54
Joondalup,1/06/2016,0,124,85,69,774,203,4,292,38
Joondalup,1/07/2016,0,178,58,48,624,214,4,355,40
Joondalup,1/08/2016,1,122,78,61,672,234,4,365,41
Joondalup,1/09/2016,4,148,72,69,632,220,16,361,42
Joondalup,1/10/2016,3,124,66,58,703,229,5,270,37
Joondalup,1/11/2016,0,107,74,78,818,243,7,398,47
Joondalup,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,1/01/2017,2,112,73,66,753,231,4,202,29
Joondalup,1/02/2017,0,122,68,53,702,187,11,250,29
Joondalup,1/03/2017,0,103,80,60,713,243,7,308,43
Joondalup,1/04/2017,0,120,65,40,664,189,6,302,60
Joondalup,1/05/2017,0,114,62,76,777,190,3,304,26
Joondalup,1/06/2017,0,103,79,71,652,178,13,259,32
Joondalup,1/07/2017,0,102,49,34,544,161,3,232,27
Joondalup,1/08/2017,0,97,74,39,596,161,4,326,68
Joondalup,1/09/2017,1,91,68,40,560,193,5,276,43
Joondalup,1/10/2017,0,91,60,39,606,177,5,216,17
Joondalup,1/11/2017,1,115,79,46,638,191,7,327,39
Joondalup,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,1/01/2018,1,135,66,52,700,180,8,283,25
Joondalup,1/02/2018,0,115,77,56,641,169,12,257,31
Joondalup,1/03/2018,0,100,82,64,684,199,5,346,31
Joondalup,1/04/2018,0,110,71,39,589,168,7,272,35
Joondalup,1/05/2018,0,72,74,43,676,161,3,367,29
Joondalup,1/06/2018,0,115,73,42,633,166,4,293,36
Joondalup,1/07/2018,0,108,58,35,664,156,3,307,30
Joondalup,1/08/2018,0,112,66,46,688,171,7,298,46
Joondalup,1/09/2018,0,98,81,51,628,198,5,306,42
Joondalup,1/10/2018,1,99,72,55,676,198,6,275,58
Joondalup,1/11/2018,0,110,73,69,680,202,8,239,31
Joondalup,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,1/01/2019,0,140,66,60,767,208,14,202,34
Joondalup,1/02/2019,0,121,69,43,629,175,6,237,39
Joondalup,1/03/2019,0,121,84,46,646,198,7,242,38
Joondalup,1/04/2019,0,105,70,65,626,183,20,228,38
Joondalup,1/05/2019,2,114,84,50,848,168,5,263,37
Joondalup,1/06/2019,0,83,62,63,625,138,5,231,54
Joondalup,1/07/2019,0,91,50,47,645,141,5,281,30
Joondalup,1/08/2019,0,89,68,45,720,177,9,330,33
Joondalup,1/09/2019,0,119,68,61,690,189,7,287,22
Joondalup,1/10/2019,0,118,66,44,735,204,9,355,34
Joondalup,1/11/2019,1,103,71,45,643,178,9,297,27
Joondalup,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,1/01/2020,0,120,77,56,725,212,17,198,35
Joondalup,1/02/2020,0,155,82,46,703,187,6,203,44
Joondalup,1/03/2020,1,139,51,39,600,208,12,253,25
Joondalup,1/04/2020,2,147,59,30,405,194,8,331,21
Joondalup,1/05/2020,0,100,58,21,378,159,6,358,41
Joondalup,1/06/2020,1,113,71,30,341,174,7,312,23
Joondalup,1/07/2020,1,129,74,24,327,126,8,298,59
Joondalup,1/08/2020,0,115,85,27,307,143,3,302,34
Joondalup,1/09/2020,4,108,122,31,343,167,6,283,41
Joondalup,1/10/2020,0,122,85,39,399,160,2,238,40
Joondalup,1/11/2020,1,140,69,25,338,164,7,218,27
Joondalup,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,1/01/2021,3,164,65,39,446,205,5,235,32
Joondalup,1/02/2021,0,150,76,40,399,136,3,193,29
Joondalup,1/03/2021,2,150,85,38,418,175,7,276,36
Joondalup,1/04/2021,2,119,89,33,359,137,4,213,14
Joondalup,1/05/2021,1,147,73,44,453,191,4,255,29
Joondalup,1/06/2021,1,158,81,30,383,171,5,239,18
Joondalup,1/07/2021,0,149,100,39,352,204,3,220,40
Joondalup,1/08/2021,0,121,94,20,420,193,5,184,30
Joondalup,1/09/2021,1,143,84,19,386,168,2,160,12
Joondalup,1/10/2021,0,137,76,28,470,187,8,204,22
Joondalup,1/11/2021,1,139,76,40,437,168,5,232,23
Joondalup,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,1/01/2022,3,152,72,38,500,202,9,165,9
Joondalup,1/02/2022,0,100,81,37,411,146,7,129,24
Joondalup,1/03/2022,1,127,89,37,411,163,13,154,21
Joondalup,1/04/2022,0,94,83,34,398,151,4,143,21
Joondalup,1/05/2022,1,102,85,38,483,139,3,120,22
Joondalup,1/06/2022,0,128,87,42,442,120,0,177,20
Joondalup,1/07/2022,3,145,55,26,443,147,5,126,17
Joondalup,1/08/2022,1,134,83,44,439,154,5,173,18
Joondalup,1/09/2022,3,131,101,30,491,205,1,173,23
Joondalup,1/10/2022,0,133,98,27,476,186,3,120,33
Joondalup,1/11/2022,0,143,90,50,516,215,3,180,16
Joondalup,1/12/2022,2,162,88,44,448,201,7,131,21
Mandurah,1/01/2007,1,75,79,51,598,318,16,107,16
Mandurah,1/02/2007,0,61,102,50,531,264,10,99,14
Mandurah,1/03/2007,0,80,103,44,571,347,9,100,9
Mandurah,1/04/2007,0,59,94,41,524,272,8,130,8
Mandurah,1/05/2007,2,61,94,42,565,290,4,160,10
Mandurah,1/06/2007,0,63,81,53,491,272,8,144,17
Mandurah,1/07/2007,5,31,82,66,561,288,5,191,16
Mandurah,1/08/2007,1,62,72,57,501,302,7,179,19
Mandurah,1/09/2007,0,52,78,57,629,260,7,133,18
Mandurah,1/10/2007,1,49,81,70,740,350,15,147,17
Mandurah,1/11/2007,2,64,100,60,773,323,11,85,13
Mandurah,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,1/01/2008,0,63,105,65,697,386,14,123,31
Mandurah,1/02/2008,0,41,98,64,669,321,12,112,10
Mandurah,1/03/2008,1,58,101,72,727,339,9,132,22
Mandurah,1/04/2008,0,45,78,75,755,374,6,119,10
Mandurah,1/05/2008,0,43,89,69,771,329,15,151,11
Mandurah,1/06/2008,4,48,74,73,699,303,7,129,23
Mandurah,1/07/2008,0,47,62,67,731,312,10,164,21
Mandurah,1/08/2008,1,47,93,49,635,294,6,174,24
Mandurah,1/09/2008,2,46,100,52,591,292,12,169,21
Mandurah,1/10/2008,0,54,118,52,638,349,10,99,19
Mandurah,1/11/2008,0,61,111,57,555,332,11,102,22
Mandurah,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,1/01/2009,2,56,122,57,721,326,18,80,2
Mandurah,1/02/2009,0,61,116,62,583,311,16,143,22
Mandurah,1/03/2009,1,49,105,67,634,355,18,135,19
Mandurah,1/04/2009,0,50,92,53,580,301,7,96,16
Mandurah,1/05/2009,1,62,79,54,579,316,15,106,18
Mandurah,1/06/2009,0,49,79,50,587,361,24,119,23
Mandurah,1/07/2009,1,48,92,47,488,281,7,116,15
Mandurah,1/08/2009,0,45,126,63,487,278,16,94,9
Mandurah,1/09/2009,0,48,83,42,499,278,12,121,23
Mandurah,1/10/2009,4,62,93,56,494,309,7,127,11
Mandurah,1/11/2009,0,48,79,48,447,288,5,108,22
Mandurah,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,1/01/2010,0,65,116,55,605,322,12,105,15
Mandurah,1/02/2010,0,61,78,68,484,256,7,82,8
Mandurah,1/03/2010,2,48,113,78,560,269,12,127,14
Mandurah,1/04/2010,0,42,97,41,461,256,1,113,18
Mandurah,1/05/2010,0,55,71,58,441,237,10,114,17
Mandurah,1/06/2010,1,49,76,87,481,210,2,156,15
Mandurah,1/07/2010,0,74,85,58,457,251,7,83,14
Mandurah,1/08/2010,1,77,109,48,506,251,6,146,17
Mandurah,1/09/2010,0,84,59,51,434,209,10,142,25
Mandurah,1/10/2010,1,104,94,68,520,293,25,83,13
Mandurah,1/11/2010,1,83,90,48,580,274,7,49,13
Mandurah,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,1/01/2011,1,116,114,61,571,311,9,55,16
Mandurah,1/02/2011,2,114,109,53,536,242,3,71,8
Mandurah,1/03/2011,0,79,104,67,624,279,10,227,30
Mandurah,1/04/2011,1,71,87,67,544,268,2,106,11
Mandurah,1/05/2011,3,85,96,50,608,268,5,95,13
Mandurah,1/06/2011,0,75,76,56,553,226,4,68,14
Mandurah,1/07/2011,0,87,67,77,524,333,4,133,16
Mandurah,1/08/2011,0,70,90,63,529,314,2,85,13
Mandurah,1/09/2011,0,64,89,71,512,223,9,137,21
Mandurah,1/10/2011,0,112,90,55,533,257,8,84,9
Mandurah,1/11/2011,0,79,97,68,589,254,13,92,10
Mandurah,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,1/01/2012,0,105,121,88,569,283,10,82,34
Mandurah,1/02/2012,2,107,99,103,608,270,17,118,31
Mandurah,1/03/2012,0,99,99,96,589,243,12,115,38
Mandurah,1/04/2012,0,94,71,87,674,229,6,129,38
Mandurah,1/05/2012,2,105,66,82,648,241,2,139,25
Mandurah,1/06/2012,1,83,73,69,484,217,7,109,20
Mandurah,1/07/2012,1,79,64,63,512,250,7,106,14
Mandurah,1/08/2012,0,98,72,82,627,231,8,146,36
Mandurah,1/09/2012,0,76,79,68,603,241,12,82,34
Mandurah,1/10/2012,0,116,108,132,776,296,5,87,15
Mandurah,1/11/2012,0,137,86,97,674,237,11,118,14
Mandurah,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,1/01/2013,0,138,102,105,757,324,16,109,22
Mandurah,1/02/2013,0,115,119,84,786,227,12,80,16
Mandurah,1/03/2013,1,151,94,68,687,280,8,81,33
Mandurah,1/04/2013,1,142,86,85,583,249,9,109,45
Mandurah,1/05/2013,1,116,84,75,702,257,5,133,21
Mandurah,1/06/2013,0,142,79,61,769,257,15,89,28
Mandurah,1/07/2013,0,125,54,65,728,297,11,143,25
Mandurah,1/08/2013,0,141,88,83,766,258,6,194,31
Mandurah,1/09/2013,2,178,88,99,690,234,13,157,39
Mandurah,1/10/2013,0,130,87,74,738,288,13,210,37
Mandurah,1/11/2013,0,166,92,70,749,306,8,125,32
Mandurah,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,1/01/2014,0,155,100,100,875,370,14,105,32
Mandurah,1/02/2014,0,151,101,94,692,274,15,154,36
Mandurah,1/03/2014,2,153,87,95,741,274,15,160,35
