District,Station,x,y,longitude,latitude,date,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle, Stealing Total, Property Damage Total, Arson Total,Drug Offences Total,Regulated Weapons Offences
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2020,1,143,106,42,495,192,11,185,18
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2021,0,156,105,58,584,185,8,84,12
Fremantle,Cockburn,115.855991,-32.12451411,115.855991,-32.12451411,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Cottesloe,115.7600907,-32.00059778,115.7600907,-32.00059778,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Fremantle ,115.7458515,-32.05444355,115.7458515,-32.05444355,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Murdoch,115.8436833,-32.07167727,115.8436833,-32.07167727,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Palmyra,115.787012,-32.03601917,115.787012,-32.03601917,1/12/2022,1,165,141,45,810,218,20,107,9
Fremantle,Rottnest,115.5393947,-31.99434935,115.5393947,-31.99434935,1/12/2022,1,165,141,45,810,218,20,107,9
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2007,1,60,104,52,582,362,18,100,17
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2008,0,40,94,60,628,346,14,128,12
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2009,0,63,76,42,570,300,22,127,17
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2010,1,80,80,67,525,343,9,80,10
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2011,3,158,89,75,711,315,8,78,19
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2012,0,139,101,78,624,266,13,102,13
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2013,5,142,66,67,617,225,9,128,14
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2014,0,117,69,64,783,260,23,196,38
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2015,0,192,83,90,673,261,17,273,28
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2016,4,140,79,55,650,233,19,297,43
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2017,1,125,83,59,646,198,19,207,19
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2018,2,116,74,46,626,192,6,233,26
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2019,0,145,67,52,654,208,8,265,48
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2020,1,158,65,42,362,201,5,205,25
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2021,0,146,108,23,429,194,22,198,30
Joondalup,Clarkson,115.7161229,-31.69001757,115.7161229,-31.69001757,1/12/2022,2,162,88,44,448,201,7,131,21
Joondalup,Hillarys,115.7431315,-31.80901721,115.7431315,-31.80901721,1/12/2022,2,162,88,44,448,201,7,131,21
Joondalup,Joondalup,115.7688056,-31.74091793,115.7688056,-31.74091793,1/12/2022,2,162,88,44,448,201,7,131,21
Joondalup,Wanneroo,115.8072865,-31.74992807,115.8072865,-31.74992807,1/12/2022,2,162,88,44,448,201,7,131,21
Joondalup,Warwick,115.8123644,-31.83980544,115.8123644,-31.83980544,1/12/2022,2,162,88,44,448,201,7,131,21
Joondalup,Yanchep,115.63946,-31.54323643,115.63946,-31.54323643,1/12/2022,2,162,88,44,448,201,7,131,21
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2007,3,54,110,53,649,312,12,103,20
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2014,0,202,94,66,794,282,9,231,37
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2014,0,202,94,66,794,282,9,231,37
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2014,0,202,94,66,794,282,9,231,37
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2014,0,202,94,66,794,282,9,231,37
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2014,0,202,94,66,794,282,9,231,37
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2015,3,246,104,80,839,355,11,194,31
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2015,3,246,104,80,839,355,11,194,31
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2015,3,246,104,80,839,355,11,194,31
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2015,3,246,104,80,839,355,11,194,31
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2015,3,246,104,80,839,355,11,194,31
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2016,1,236,139,93,666,365,21,280,69
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2016,1,236,139,93,666,365,21,280,69
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2016,1,236,139,93,666,365,21,280,69
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2016,1,236,139,93,666,365,21,280,69
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2016,1,236,139,93,666,365,21,280,69
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2017,1,198,107,70,629,272,17,175,26
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2017,1,198,107,70,629,272,17,175,26
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2017,1,198,107,70,629,272,17,175,26
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2017,1,198,107,70,629,272,17,175,26
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2017,1,198,107,70,629,272,17,175,26
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2018,0,219,94,66,768,286,12,177,22
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2018,0,219,94,66,768,286,12,177,22
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2018,0,219,94,66,768,286,12,177,22
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2018,0,219,94,66,768,286,12,177,22
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2018,0,219,94,66,768,286,12,177,22
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2019,1,211,114,72,743,189,12,188,21
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2019,1,211,114,72,743,189,12,188,21
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2019,1,211,114,72,743,189,12,188,21
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2019,1,211,114,72,743,189,12,188,21
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2019,1,211,114,72,743,189,12,188,21
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2020,2,238,87,49,472,219,11,166,47
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2020,2,238,87,49,472,219,11,166,47
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2020,2,238,87,49,472,219,11,166,47
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2020,2,238,87,49,472,219,11,166,47
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2020,2,238,87,49,472,219,11,166,47
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2021,0,206,127,52,531,205,11,170,19
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2021,0,206,127,52,531,205,11,170,19
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2021,0,206,127,52,531,205,11,170,19
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2021,0,206,127,52,531,205,11,170,19
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2021,0,206,127,52,531,205,11,170,19
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2022,0,296,128,61,575,208,8,138,32
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2022,0,296,128,61,575,208,8,138,32
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2022,0,296,128,61,575,208,8,138,32
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2022,0,296,128,61,575,208,8,138,32
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2022,0,296,128,61,575,208,8,138,32
Midland,Ballajura,115.8957264,-31.84572515,115.8957264,-31.84572515,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Ellenbrook,115.9663408,-31.78037668,115.9663408,-31.78037668,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Forrestfield,116.0097215,-31.98573545,116.0097215,-31.98573545,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Kiara,115.939222,-31.88708245,115.939222,-31.88708245,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Midland,116.0023487,-31.88673677,116.0023487,-31.88673677,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Mundaring,116.1666915,-31.90226812,116.1666915,-31.90226812,1/12/2007,2,67,89,65,609,335,14,108,18
Midland,Ballajura,115.8957264,-31.84572515,115.8957264,-31.84572515,1/12/2008,0,89,68,57,470,280,27,83,16
Midland,Ellenbrook,115.9663408,-31.78037668,115.9663408,-31.78037668,1/12/2008,0,89,68,57,470,280,27,83,16
